title,artist,date,category,medium,id,url,image
Situações Mínimas,Artur Barrio,1972;,Desenho | Projeto de ação | Instalação,nanquim sobre papel,20040,https://acervo.mac.usp.br/acervo/index.php/Detail/objects/20040,
Metamorphose,Féliks Podsiadly,circa 1977;,,acrílica e letra adesiva sobre fotografia pb sobre papel,20039,https://acervo.mac.usp.br/acervo/index.php/Detail/objects/20039,https://acervo.mac.usp.br/acervo/media/collectiveaccess/images/1/9/26571_ca_object_representations_media_1983_large.jpg
Sem título,Mirtha Dermisache,1975;,,offset sobre cartão postal,20038,https://acervo.mac.usp.br/acervo/index.php/Detail/objects/20038,
L'Ambiance Conditionne les Gens,Marie Orensanz,1975;,Arte postal,offset sobre cartão postal,20037,https://acervo.mac.usp.br/acervo/index.php/Detail/objects/20037,
Elecciones en México,Felipe Ehrenberg,1977;,Impressão fotomecânica,"recortes de fotocópia, nanquim, carimbo, caneta hidrográfica, grafite e pastel seco sobre papel",20036,https://acervo.mac.usp.br/acervo/index.php/Detail/objects/20036,
Intersemiosis - Permutaciones de un Mismo Tema,Felipe Ehrenberg,1977;,Impressão fotomecânica,"recortes de fotocópia, nanquim, carimbo, caneta hidrográfica e grafite sobre papel",20035,https://acervo.mac.usp.br/acervo/index.php/Detail/objects/20035,
Sem título,Giulia Niccolai,circa 1977;,Fotografia,fotografia pb sobre papel,34389,https://acervo.mac.usp.br/acervo/index.php/Detail/objects/34389,https://acervo.mac.usp.br/acervo/media/collectiveaccess/images/6/4/14714_ca_object_representations_media_6419_large.jpg
Juan Desafia al Futuro - Juan Desafia a Juan - Juan futuro,Haroldo González,circa 1977;,Impressão fotomecânica,heliografia sobre papel,20034,https://acervo.mac.usp.br/acervo/index.php/Detail/objects/20034,
Sem título,Giulia Niccolai,circa 1977;,Fotografia,fotografia pb sobre papel,34389,https://acervo.mac.usp.br/acervo/index.php/Detail/objects/34389,https://acervo.mac.usp.br/acervo/media/collectiveaccess/images/6/4/14714_ca_object_representations_media_6419_large.jpg
Proyecto para una Pintura,Luis Camnitzer,1976;,Desenho | Texto,monotipia e caneta nanquim sobre papel milimetrado,20033,https://acervo.mac.usp.br/acervo/index.php/Detail/objects/20033,https://acervo.mac.usp.br/acervo/media/collectiveaccess/images/1/9/26437_ca_object_representations_media_1982_large.jpg
La desaparición de,Luis Camnitzer,1973;,Desenho | Texto,caneta nanquim sobre papel milimetrado,20032,https://acervo.mac.usp.br/acervo/index.php/Detail/objects/20032,https://acervo.mac.usp.br/acervo/media/collectiveaccess/images/1/9/67065_ca_object_representations_media_1981_large.jpg
Trama,Maurício Fridman,1976;,Impresso | Livro de Artista,offset sobre papel,20031,https://acervo.mac.usp.br/acervo/index.php/Detail/objects/20031,
Eu vou voltar pro interior,Maurício Fridman,1976;,Impresso | Livro de Artista,guache e offset sobre papel,20030,https://acervo.mac.usp.br/acervo/index.php/Detail/objects/20030,
O objetivo,Maurício Fridman,1976;,Gravura | Livro de Artista,serigrafia sobre papel,20029,https://acervo.mac.usp.br/acervo/index.php/Detail/objects/20029,
Silent People,Maurício Fridman,1976;,Impresso | Livro de Artista,relevo sobre papel,20028,https://acervo.mac.usp.br/acervo/index.php/Detail/objects/20028,
Vão dos Mortos,Maurício Fridman,1976;,Impresso | Livro de Artista,offset sobre papel,20027,https://acervo.mac.usp.br/acervo/index.php/Detail/objects/20027,
